epoch,L_loss,h_loss,loss,s_loss,t_loss
0,1.5449095,2.1023717,1.5449091732501983,-1.5449095,1.9900833
1,1.1716415,-5.2881713,1.1716416707634927,-1.1716415,1.9701874
2,0.78902125,-10.575091,0.7890212869644165,-0.78902125,1.9504858
3,0.39545736,-6.3059936,0.3954575347900391,-0.39545736,1.9309812
4,-0.01220025,-6.85776,-0.012200251092435792,0.01220025,1.9116713
5,-0.43432975,-6.4490967,-0.43432967983186244,0.43432975,1.8925549
6,-0.8756266,-8.476154,-0.8756266140937805,0.8756266,1.8736295
7,-1.3359722,-8.852425,-1.3359723949432374,1.3359722,1.8548932
8,-1.8200574,-8.852425,-1.8200569671392441,1.8200574,1.8363426
9,-2.326691,-7.7676716,-2.3266912317276,2.326691,1.8179811
10,-2.864792,-5.664178,-2.864792231321335,2.864792,1.7998016
11,-3.4354498,-2.638203,-3.435449495315552,3.4354498,1.7818037
12,-4.044972,-9.808841,-4.044972996711731,4.044972,1.7639859
13,-4.6986055,-9.808841,-4.698605573177337,4.6986055,1.7463461
14,-5.402612,-9.808841,-5.402612483501434,5.402612,1.7288826
15,-6.1574664,-5.162642,-6.157465932369232,6.1574664,1.7115946
16,-6.9555035,-0.2624204,-6.9555028486251835,6.9555035,1.6944785
17,-7.8221087,-0.2624204,-7.822108545303345,7.8221087,1.6775333
18,-8.746932,-0.19528705,-8.746933403015136,8.746932,1.6607584
19,-9.65612,-0.038642395,-9.656118540763854,9.65612,1.6441509
20,-10.446936,2.3699582,-10.446935338973999,10.446936,1.6277102
21,-11.10399,1.9509201,-11.103986144065857,11.10399,1.6114328
22,-11.696486,1.9509201,-11.696488070487977,11.696486,1.5953186
23,-12.251434,0.7566122,-12.251439685821532,12.251434,1.5793655
24,-12.758919,0.6047315,-12.758916654586791,12.758919,1.563572
25,-13.241057,1.2858391,-13.241052389144897,13.241057,1.5479364
26,-13.711351,2.7253199,-13.711353721618652,13.711351,1.5324564
27,-14.156888,2.7253199,-14.156887216567993,14.156888,1.5171329
28,-14.572933,5.6061482,-14.572933268547057,14.572933,1.5019614
29,-14.95943,8.259559,-14.959431867599488,14.95943,1.4869419
30,-15.3207035,8.259559,-15.320702323913574,15.3207035,1.472073
31,-15.706963,8.259559,-15.706961269378661,15.706963,1.4573523
32,-16.040949,8.259559,-16.040948243141173,16.040949,1.4427785
